cod_mpio,sedes_reps,prestadores_reps,reps_rows,sedes_ips_reps,sedes_publicas_reps,sedes_privadas_reps,fecha_corte_reps
15822,1,1,1,1,1,0,Fecha corte REPS: Mar 12 2026  3:11PM
15832,1,1,1,1,1,0,Fecha corte REPS: Mar 12 2026  3:11PM
15835,4,4,4,1,1,3,Fecha corte REPS: Mar 12 2026  3:11PM
15837,4,4,4,1,1,3,Fecha corte REPS: Mar 12 2026  3:11PM
15839,2,1,2,2,2,0,Fecha corte REPS: Mar 12 2026  3:11PM
15842,2,1,2,2,2,0,Fecha corte REPS: Mar 12 2026  3:11PM
15861,10,8,10,3,3,7,Fecha corte REPS: Mar 12 2026  3:11PM
15879,1,1,1,1,1,0,Fecha corte REPS: Mar 12 2026  3:11PM
15897,2,2,2,1,1,1,Fecha corte REPS: Mar 12 2026  3:11PM
17001,1168,1060,1168,221,25,1140,Fecha corte REPS: Mar 12 2026  3:11PM
17013,46,43,46,2,2,44,Fecha corte REPS: Mar 12 2026  3:11PM
17042,43,42,43,6,1,42,Fecha corte REPS: Mar 12 2026  3:11PM
17050,8,8,8,1,1,7,Fecha corte REPS: Mar 12 2026  3:11PM
17088,8,8,8,1,1,7,Fecha corte REPS: Mar 12 2026  3:11PM
17174,51,50,51,10,1,50,Fecha corte REPS: Mar 12 2026  3:11PM
17272,11,10,11,2,2,9,Fecha corte REPS: Mar 12 2026  3:11PM
17380,126,117,126,42,8,118,Fecha corte REPS: Mar 12 2026  3:11PM
17388,3,3,3,1,1,2,Fecha corte REPS: Mar 12 2026  3:11PM
17433,33,32,33,2,1,32,Fecha corte REPS: Mar 12 2026  3:11PM
17442,5,5,5,1,1,4,Fecha corte REPS: Mar 12 2026  3:11PM
17444,13,13,13,2,1,12,Fecha corte REPS: Mar 12 2026  3:11PM
17446,2,1,2,2,2,0,Fecha corte REPS: Mar 12 2026  3:11PM
17486,23,22,23,3,1,22,Fecha corte REPS: Mar 12 2026  3:11PM
17495,3,3,3,2,1,2,Fecha corte REPS: Mar 12 2026  3:11PM
17513,17,16,17,3,2,15,Fecha corte REPS: Mar 12 2026  3:11PM
17524,5,4,5,3,2,3,Fecha corte REPS: Mar 12 2026  3:11PM
17541,18,14,18,5,5,13,Fecha corte REPS: Mar 12 2026  3:11PM
17614,53,49,53,7,3,50,Fecha corte REPS: Mar 12 2026  3:11PM
17616,8,8,8,2,1,7,Fecha corte REPS: Mar 12 2026  3:11PM
17653,16,15,16,4,2,14,Fecha corte REPS: Mar 12 2026  3:11PM
17662,14,12,14,4,3,11,Fecha corte REPS: Mar 12 2026  3:11PM
